ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ISR,Israel,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.59,15.28,14.55,14.15,13.71,13.06,12.65,12.5,12.16,12.03,11.82,11.38,10.48,10.37,9.9,9.2,8.52,8.06,7.67,7.36,7.1,7.18,6.58,5.77,4.57,3.79,3.29,2.79,2.63,2.36,2.15,1.83
AUS,Australia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,16.2,16.41,17.05,17.37,17.86,18.19,17.92,17.25,16.79,17.36,16.92,16.7,15.83,15.2,13.98,12.87,13.42,12.34,11.68,10.68,10.05,8.57,8.17,8.54,7.63,7.73,7.69,8.45,9.91,10.3,10.37,10.81
DZA,Algeria,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,15.95,13.31,13.95,12.77,12.05,10.91,10.83,10.26,10.02,10.07,10.82,10.71,9.87,10.1,9.74,8.72,8.23,8.11,7.03,6.63,6.27,6.18,6.07,5.67,5.31,5.9,6.28,5.98,6.25,6.33,6.24,5.69
GBR,United Kingdom,Climate Watch,Industrial Processes,All GHG,MtCO₂e,15.81,16.4,18.07,19.1,20.26,21.52,22.07,22.05,21.59,21.07,21.31,23.52,22.43,24.88,25.72,24.64,24.55,24.25,24.34,23.1,24.46,25.04,26.14,44.4,47.04,43.79,42.49,42.68,40.76,43.68,48.62,49.39
COL,Colombia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,15.77,13.94,14.63,15.7,15.32,14.64,14.34,16.24,16.65,11.89,15.25,12.03,12.09,13.72,12.12,11.74,14.74,13.98,14.55,16.02,16.0,16.22,14.8,15.72,17.03,16.21,15.51,15.81,14.86,13.36,13.03,12.51
ESP,Spain,Climate Watch,Industrial Processes,All GHG,MtCO₂e,15.55,15.82,17.38,18.67,19.14,19.79,19.79,26.0,24.8,25.89,26.79,29.26,29.67,34.1,35.62,33.6,31.13,29.12,28.9,26.51,27.6,30.81,29.14,26.37,25.28,23.27,22.51,19.92,16.41,17.79,18.57,19.91
IRQ,Iraq,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,15.39,15.58,16.38,13.94,12.15,11.76,7.97,9.1,12.23,14.14,8.4,7.57,7.12,6.75,8.08,6.77,7.02,7.48,7.06,9.85,10.88,10.49,10.11,9.79,9.83,10.33,10.19,10.38,9.63,8.71,6.91,7.82
KWT,Kuwait,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,15.13,14.26,13.24,12.46,12.28,11.49,11.11,9.75,12.3,11.87,11.96,10.51,9.82,9.2,7.46,10.61,11.54,8.0,8.43,6.68,7.13,7.62,5.47,6.47,4.27,4.67,6.01,6.19,7.18,5.26,0.99,4.06
NGA,Nigeria,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,14.77,13.34,14.25,14.01,12.7,13.91,13.75,13.44,12.89,11.34,11.11,5.74,5.56,8.5,6.75,6.0,6.18,6.91,8.4,3.47,3.49,3.85,3.2,3.07,3.07,3.63,3.25,3.54,4.12,4.46,3.79,3.89
CHL,Chile,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,14.44,14.15,14.64,14.55,14.59,15.2,15.22,14.19,13.06,11.76,14.14,13.85,11.45,12.25,12.17,12.26,10.73,10.76,10.93,10.55,11.36,10.46,10.32,10.8,12.87,9.67,8.95,7.94,8.11,7.67,6.75,6.46
